Framework,Scenario,Threads,RunID,Throughput,AvgLatency,TailLatency99,ErrorRate,AvgCPU,AvgMemoryMiB
express,fibonacci,200,34,549.175,113.82362938346914,222.0,0.0,98.969,277.84000000000003
express,fibonacci,200,35,543.625,117.62342300912087,599.0,0.0,98.45970338983051,272.3271186440678
express,fibonacci,200,36,548.9166666666666,114.02178533475026,249.0,0.0,98.51987288135594,275.64406779661016
express,fibonacci,200,37,543.7416666666667,117.48664347346319,275.0,0.0,98.06470338983053,271.27966101694915
express,fibonacci,200,38,544.95,116.65583998531976,251.0,0.0,98.58833333333334,269.0216666666667
express,fibonacci,200,39,547.3083333333333,115.05196644182895,243.23999999999796,0.0,98.23372881355932,265.51186440677964
express,fibonacci,200,40,547.4333333333333,114.9858125799184,280.0,0.0,98.43266949152542,271.50677966101694
express,fibonacci,200,41,550.1333333333333,113.20531386330586,250.84999999999854,0.0,98.83877118644067,269.0322033898305
express,fibonacci,200,42,547.7,114.74837197979429,216.0,0.0,99.01317796610168,273.8186440677966
express,fibonacci,200,43,547.3666666666667,115.02498325315145,252.0,0.0,98.41368644067799,275.3203389830508
express,fibonacci,200,44,548.8,113.82039601554908,235.0,0.0,98.90809322033897,270.8813559322034
express,fibonacci,200,45,546.8583333333333,115.3883699312741,240.0,0.0,98.49758333333334,270.6033333333334
express,fibonacci,200,46,570.8,99.98931324456903,252.0,0.0,98.36076271186441,273.1576271186441
express,fibonacci,200,47,528.8166666666667,127.87243531154465,276.0,0.0,98.71283898305086,266.93728813559323
express,fibonacci,200,48,544.125,117.22213033157209,262.0,0.0,98.54101694915255,277.4135593220339
express,fibonacci,200,49,567.1916666666667,102.23877877848464,270.0,0.0,98.16830508474577,269.93389830508477
express,fibonacci,200,50,548.175,114.38806038217723,272.0,0.0,98.73050847457627,269.7050847457627
express,fibonacci,500,1,547.8916666666667,894.2300180996851,14527.780000000006,0.0,98.57584745762712,300.31864406779664
express,fibonacci,500,2,549.225,892.0579756323305,14361.760000000126,0.0,98.63495762711865,291.41355932203396
express,fibonacci,500,3,551.3833333333333,888.9150470029924,14104.649999999943,0.0,98.21131355932205,304.60169491525426
express,fibonacci,500,4,544.6083333333333,899.6103468853763,14575.439999999988,0.0,98.73427966101694,297.75932203389834
express,fibonacci,500,5,545.3083333333333,897.809801794092,14556.679999999964,0.0,98.44292372881355,308.30508474576266
express,fibonacci,500,6,544.25,898.83362425356,14626.479999999894,0.0,98.37953389830508,295.36949152542377
express,fibonacci,500,7,541.875,901.7337639369473,14816.320000000014,0.0,98.10847457627118,286.7593220338983
express,fibonacci,500,8,543.1333333333333,900.6324874186818,14686.0,0.0,98.76915254237288,311.2084745762712
express,fibonacci,500,9,542.6833333333333,900.5926568594331,14874.79,0.0,98.28016949152541,299.07288135593217
express,fibonacci,500,10,553.1666666666666,885.0564477252184,14209.63000000002,0.0,99.22622881355932,312.8203389830508
express,fibonacci,500,11,551.3166666666667,889.5602194745911,14326.720000000001,0.0,98.79805084745765,297.50847457627117
express,fibonacci,500,12,544.7416666666667,899.7786871452829,14547.199999999997,0.0,97.27415254237289,299.95084745762716
express,fibonacci,500,13,543.05,900.7186876592087,14717.349999999999,0.0,98.3872033898305,296.68983050847453
express,fibonacci,500,14,544.75,899.7292029983173,14656.169999999984,0.0,98.46927966101693,300.11355932203384
express,fibonacci,500,15,508.55,947.6102317045194,17067.25,0.0,98.41114406779663,293.60338983050843
express,fibonacci,500,16,551.8666666666667,887.6760690988161,14239.930000000037,0.0,98.99826271186441,292.2152542372881
express,fibonacci,500,17,539.45,905.5657923193376,15006.739999999962,0.0,97.4360593220339,294.9745762711864
express,fibonacci,500,18,545.8416666666667,896.7949496954245,14598.0,0.0,98.86016949152543,304.39322033898304
express,fibonacci,500,19,545.475,896.6646195212124,14616.640000000014,0.0,98.96745762711866,302.25084745762706
express,fibonacci,500,20,540.2083333333334,905.3214192055534,14995.040000000008,0.0,98.88766949152541,298.50677966101705
express,fibonacci,500,21,541.5,901.5466912896276,14924.629999999997,0.0,98.60682203389831,297.17288135593213
express,fibonacci,500,22,545.175,897.4982803686889,14661.800000000032,0.0,98.83271186440676,287.7389830508475
express,fibonacci,500,23,555.0416666666666,882.0140680129119,14054.960000000006,0.0,97.87648305084747,310.857627118644
express,fibonacci,500,24,548.825,892.5483381162787,14314.779999999984,0.0,99.19101694915256,291.53389830508473
express,fibonacci,500,25,545.5166666666667,896.3975588891266,14682.0,0.0,98.56012711864406,305.8847457627118
express,fibonacci,500,26,543.8,900.0702464141228,14780.199999999953,0.0,98.26737288135593,302.66440677966096
express,fibonacci,500,27,541.0833333333334,901.5729246881257,15062.009999999973,0.0,98.81322033898304,295.3084745762712
express,fibonacci,500,28,564.975,868.3587474372023,13612.239999999802,0.0,98.80271186440677,298.1084745762712
express,fibonacci,500,29,545.225,896.8726519632568,14533.659999999982,0.0,98.72084745762712,303.8898305084746
express,fibonacci,500,30,546.3833333333333,895.7161486136107,14451.699999999997,0.0,98.74470338983052,297.7949152542373
express,fibonacci,500,31,552.1166666666667,886.9445769312042,14198.640000000014,0.0,98.73004237288134,336.37288135593235
express,fibonacci,500,32,551.7416666666667,889.3855820205712,14273.679999999993,0.0,98.36898305084746,294.06779661016964
express,fibonacci,500,33,546.2,896.0001373123398,14457.969999999994,0.0,98.92495762711864,298.67288135593213
express,fibonacci,500,34,555.525,882.3755756566611,14136.840000000084,0.0,98.93423728813559,295.00338983050847
express,fibonacci,500,35,540.3333333333334,905.3648210980876,14894.890000000029,0.0,98.67572033898306,295.6762711864406
express,fibonacci,500,36,546.2416666666667,895.120840897649,14468.159999999974,0.0,99.03449152542373,293.95423728813563
express,fibonacci,500,37,563.4333333333333,870.9780660237827,13734.01999999999,0.0,98.77127118644069,295.4457627118644
express,fibonacci,500,38,541.6666666666666,903.194076923077,14860.090000000018,0.0,98.4847881355932,301.6898305084746
express,fibonacci,500,39,544.675,897.5350897324092,14716.400000000009,0.0,98.87639830508475,298.81694915254224
express,fibonacci,500,40,544.3916666666667,898.7990723590552,14739.459999999941,0.0,98.92194915254238,300.1389830508474
express,fibonacci,500,41,545.4916666666667,895.5846254907652,14710.679999999993,0.0,98.58194915254238,304.006779661017
express,fibonacci,500,42,537.9083333333333,908.6952857519094,15065.959999999846,0.0,98.42466101694916,299.7593220338983
express,fibonacci,500,43,547.7333333333333,893.0270965189874,14411.489999999947,0.0,98.96512711864408,287.86610169491524
express,fibonacci,500,44,544.525,899.0147835269271,14668.760000000038,0.0,98.4329661016949,296.28644067796614
express,fibonacci,500,45,541.6416666666667,903.6471683308461,14789.160000000025,0.0,97.75398305084745,295.328813559322
express,fibonacci,500,46,548.1083333333333,893.426223526371,14497.879999999976,0.0,98.73500000000001,293.2593220338983
express,fibonacci,500,47,537.9666666666667,908.7966106945908,15065.399999999965,0.0,98.04944915254238,299.4271186440679
express,fibonacci,500,48,540.1,905.2955471209035,15029.699999999983,0.0,98.87588983050847,295.84406779661015
express,fibonacci,500,49,542.525,902.3586317066802,14856.89999999998,0.0,98.25936440677965,295.29491525423725
express,fibonacci,500,50,542.3416666666667,902.5926614526513,14771.79999999996,0.0,98.12652542372882,293.00508474576276
express,json,4,1,3.9916666666666667,1.7494780793319415,3.0,0.0,0.1683050847457627,124.62203389830509
express,json,4,2,3.9916666666666667,1.7181628392484343,3.0,0.0,0.16711864406779664,124.86271186440678
express,json,4,3,3.9916666666666667,1.7974947807933195,4.0,0.0,0.15059322033898306,124.35593220338983
express,json,4,4,3.9916666666666667,1.8997912317327765,3.2199999999999704,0.0,0.19563559322033902,133.42033898305084
express,json,4,5,3.9916666666666667,1.860125260960334,3.0,0.0,0.16508474576271187,128.74576271186442
express,json,4,6,3.9916666666666667,1.895615866388309,3.2199999999999704,0.0,0.16826271186440678,124.92881355932204
express,json,4,7,4.0,1.9708333333333334,4.0,0.0,0.19055084745762715,130.34406779661018
express,json,4,8,3.9916666666666667,1.9874739039665972,3.2199999999999704,0.0,0.15707627118644069,123.62033898305087
express,json,4,9,3.9916666666666667,1.9060542797494782,4.0,0.0,0.17059322033898308,126.87457627118646
express,json,4,10,3.9916666666666667,1.8204592901878915,4.0,0.0,0.16521186440677965,125.89661016949152
express,json,4,11,3.9916666666666667,1.895615866388309,3.2199999999999704,0.0,0.1514406779661017,121.72881355932203
express,json,4,12,3.9916666666666667,1.8517745302713988,3.2199999999999704,0.0,0.15135593220338983,122.9915254237288
express,json,4,13,3.9916666666666667,1.9331941544885178,3.0,0.0,0.16529661016949157,127.81355932203388
express,json,4,14,3.9916666666666667,1.9478079331941545,4.0,0.0,0.15125000000000002,121.43833333333335
express,json,4,15,3.9916666666666667,1.9436325678496869,4.0,0.0,0.1841101694915254,131.17457627118642
express,json,4,16,3.9916666666666667,1.951983298538622,3.2199999999999704,0.0,0.1683474576271186,126.62203389830508
express,json,4,17,3.9916666666666667,1.8893528183716075,4.0,0.0,0.15923728813559318,125.51016949152542
express,json,4,18,3.9916666666666667,1.941544885177453,3.0,0.0,0.15559322033898307,121.86440677966104
express,json,4,19,3.9916666666666667,1.8643006263048016,3.0,0.0,0.15932203389830507,125.17627118644067
express,json,4,20,3.9916666666666667,1.778705636743215,3.2199999999999704,0.0,0.1498728813559322,120.17457627118644
express,json,4,21,3.9916666666666667,1.966597077244259,4.0,0.0,0.17029661016949155,127.88813559322035
express,json,4,22,3.9916666666666667,1.9206680584551148,3.0,0.0,0.16661016949152543,123.25762711864408
express,json,4,23,3.9916666666666667,1.9394572025052192,3.0,0.0,0.18614406779661016,131.1542372881356
express,json,4,24,3.9916666666666667,1.9498956158663883,4.0,0.0,0.1586440677966102,122.37627118644068
express,json,4,25,3.9916666666666667,1.8893528183716075,4.0,0.0,0.18559322033898307,128.6406779661017
express,json,4,26,4.0,1.825,3.0,0.0,0.14733050847457627,122.27118644067798
express,json,4,27,3.9916666666666667,1.849686847599165,3.2199999999999704,0.0,0.16008474576271187,126.56440677966101
express,json,4,28,4.0,1.8583333333333334,3.2099999999999795,0.0,0.16101694915254242,128.15254237288136
express,json,4,29,3.9916666666666667,1.7828810020876826,3.0,0.0,0.15711864406779663,126.89830508474576
express,json,4,30,3.9916666666666667,1.8162839248434237,3.0,0.0,0.16241525423728817,125.50847457627118
express,json,4,31,3.9916666666666667,1.9707724425887265,4.0,0.0,0.17033898305084746,125.74406779661017
express,json,4,32,3.9916666666666667,1.9853862212943632,4.0,0.0,0.15139830508474578,122.63559322033896
express,json,4,33,4.0,1.74375,3.0,0.0,0.16296610169491527,125.7813559322034
express,json,4,34,3.9916666666666667,1.9582463465553235,4.0,0.0,0.17110169491525426,125.49322033898305
express,json,4,35,4.0,1.8770833333333334,4.0,0.0,0.16974576271186442,125.89830508474576
express,json,4,36,3.9916666666666667,1.8789144050104385,3.2199999999999704,0.0,0.17322033898305086,125.55932203389834
express,json,4,37,3.9916666666666667,1.9373695198329854,3.0,0.0,0.16601694915254234,126.33559322033896
express,json,4,38,3.9916666666666667,1.8183716075156575,3.2199999999999704,0.0,0.17627118644067796,129.44067796610167
express,json,4,39,3.9916666666666667,1.849686847599165,3.2199999999999704,0.0,0.15978813559322033,124.84745762711866
express,json,4,40,3.9916666666666667,1.8183716075156575,3.0,0.0,0.13983050847457626,122.34745762711863
express,json,4,41,3.9916666666666667,1.883089770354906,3.0,0.0,0.16203389830508472,124.68474576271184
express,json,4,42,3.9916666666666667,1.8538622129436326,4.0,0.0,0.16453389830508477,125.54237288135592
express,json,4,43,4.0,1.9375,3.2099999999999795,0.0,0.16733050847457628,126.09830508474575
express,json,4,44,4.0,1.78125,3.0,0.0,0.1488135593220339,122.99661016949152
express,json,4,45,3.9916666666666667,1.977035490605428,4.0,0.0,0.1734322033898305,127.33389830508474
express,json,4,46,3.9916666666666667,1.9248434237995824,3.2199999999999704,0.0,0.16877118644067798,126.38474576271184
express,json,4,47,3.9916666666666667,1.8079331941544885,3.2199999999999704,0.0,0.14377118644067796,121.89152542372882
express,json,4,48,3.9916666666666667,1.8162839248434237,4.0,0.0,0.15334745762711863,121.9457627118644
express,json,4,49,3.9916666666666667,2.0041753653444676,3.2199999999999704,0.0,0.17338983050847462,128.12542372881356
express,json,4,50,3.9916666666666667,1.8434237995824634,4.0,0.0,0.17182203389830508,125.28474576271186
express,json,200,1,796.2916666666666,0.8164826539689184,4.0,0.0,14.000254237288134,285.65762711864414
express,json,200,2,796.275,0.8191893504128599,4.0,0.0,13.717500000000001,314.40338983050844
express,json,200,3,795.975,0.8354114974297769,4.0,0.0,13.646355932203392,319.9949152542373
express,json,200,4,796.1916666666667,0.7922192101985494,3.0,0.0,13.419618644067798,354.11864406779665
express,json,200,5,796.175,0.8249337980552852,4.0,0.0,13.575042372881358,289.4101694915254
express,json,200,6,796.2083333333334,0.8087393374849547,3.0,0.0,13.738305084745763,317.2694915254237
express,json,200,7,796.2416666666667,0.8086008226145747,4.0,0.0,13.685720338983048,318.9406779661017
express,json,200,8,796.1666666666666,0.8305212476449655,4.0,0.0,13.702881355932204,285.28474576271185
express,json,200,9,796.2666666666667,0.8265133121232418,4.0,0.0,13.765466101694914,318.04915254237284
express,json,200,10,796.2,0.8115841915766557,4.0,0.0,13.827669491525421,298.5508474576271
express,json,200,11,796.3,0.8177403826028716,3.0,0.0,13.754915254237288,319.5694915254237
express,json,200,12,796.3416666666667,0.8102887161080357,3.0,0.0,13.732245762711864,286.68813559322024
express,json,200,13,796.0666666666667,0.8370006699606398,4.0,0.0,14.124406779661017,286.2813559322034
express,json,200,14,796.475,0.7686158803896335,3.0,0.0,13.40673728813559,318.942372881356
express,json,200,15,796.4333333333333,0.7960804419704516,4.0,0.0,13.477838983050848,318.7050847457627
express,json,200,16,796.3166666666667,0.7934971430963393,4.0,0.0,13.658559322033899,285.14237288135587
express,json,200,17,796.1916666666667,0.8078980145065573,4.0,0.0,13.68864406779661,287.9457627118644
express,json,200,18,796.4333333333333,0.7977127192064621,4.0,0.0,13.985889830508475,284.9271186440679
express,json,200,19,796.175,0.8256769345097916,4.0,0.0,13.914915254237286,287.9525423728814
express,json,200,20,796.2916666666666,0.8083826068756214,4.0,0.0,13.455550847457628,353.50000000000006
express,json,200,21,796.3416666666667,0.7918293027490294,4.0,0.0,13.7421186440678,317.0864406779661
express,json,200,22,796.3833333333333,0.7840340706945985,3.0,0.0,13.570084745762712,353.99830508474577
express,json,200,23,796.3833333333333,0.8264864072996673,4.0,0.0,13.836228813559321,316.61864406779654
express,json,200,24,796.3,0.8038323077567081,3.0,0.0,13.864618644067795,286.6745762711864
express,json,200,25,796.2916666666666,0.8179687091204019,4.0,0.0,13.81593220338983,336.31864406779664
express,json,200,26,796.425,0.786441493758567,3.0,0.0,13.735296610169494,320.7152542372881
express,json,200,27,796.6,0.7790610092894803,4.0,0.0,13.597118644067796,293.78474576271185
express,json,200,28,796.2833333333333,0.8233878225924608,4.0,0.0,13.58470338983051,413.528813559322
express,json,200,29,796.2833333333333,0.8014211859262825,4.0,0.0,13.547415254237288,321.7305084745763
express,json,200,30,796.1833333333333,0.8372862196730234,4.0,0.0,13.806610169491524,288.4728813559322
express,json,200,31,796.325,0.8122730459715987,4.0,0.0,13.837796610169491,287.3050847457627
express,json,200,32,796.375,0.8221733898393764,4.0,0.0,13.741271186440677,317.64406779661016
express,json,200,33,796.1583333333333,0.8106427741550571,4.0,0.0,13.769533898305085,321.84576271186444
express,json,200,34,796.3083333333333,0.8130225938445117,4.0,0.0,13.707033898305086,320.80169491525425
express,json,200,35,796.1416666666667,0.8263604676722107,4.0,0.0,14.250296610169492,316.8084745762712
express,json,200,36,796.0083333333333,0.8277446844149454,4.0,0.0,13.834830508474576,306.0457627118644
express,json,200,37,796.2083333333334,0.8327489664555968,4.0,0.0,13.909364406779664,313.70000000000005
express,json,200,38,796.225,0.824850597088344,4.0,0.0,13.766016949152542,284.7610169491526
express,json,200,39,796.2333333333333,0.8131410390589023,4.0,0.0,13.787542372881354,301.7474576271186
express,json,200,40,796.4583333333334,0.8249123724823437,4.0,0.0,13.806737288135595,318.13050847457623
